date,url,text
"08/09/2024","Các ông cứ bảo đặt bé bự vs thằng bé, tới nó đặt cho quả nandoi45 thì nó lại vui cả nhà","Top-level"
"08/09/2024","Nhớ k nhầm thì tên bão là đc đặt sẵn 1 danh sách bởi những nước dễ bị ảnh hưởng bởi bão hay j đấy, xong đến cái nào thì họ lấy tên lần lượt trong danh sách có sẵn ra thôi, chứ chả liên quan j tới việc nước nào đặt cho bão nào cả","Top-level"
"08/09/2024","Littleboy vs Fatman hay hơn mà ko đặt :))))","Top-level"
"08/09/2024","Đặt Hưng Yên cho nó mạnh","Top-level"
"08/09/2024","Cười hả hê đi, toàn đi xkld bên nc nó. Còn nữa, hết visa thì trốn chui đã vậy còn có tính ăn cắp vặt nữa chớ. Mới đây còn cướp của giết người. Toàn là con cháu của khỉ trường sơn =)))","Top-level"
"08/09/2024","Nghe nói là siêu bão, siêu mạnh","Top-level"
"08/09/2024","Tại sao lại có mấy người lại đùa theo kiểu ""little boy"" và ""fat man"" thế nhỉ.Nó là tội ác chiến tranh mà cứ đùa như kiểu người Nhật PHẢI chịu lượng thương vong đấy vậy. Đúng là Nhật là bên phát xít nhưng đó là QUÁ KHỨ. Thử nghĩ lại nhá nếu nước khác nói về vụ nạn đói 1945 là phải chịu hay việc nhổ lúa trồng đay là do yếu kém nên bị, đó là một cái nhìn phiến diện vì dân ta có làm gì lên tội đâu, các bạn có tức không, khó chịu không. Lớn rồi! Văn minh lên ranh giới giữa đùa cợt và vô duyên nó mỏng manh lắm. Chốt lại đùa thì lựa lựa chứ tôi cũng ko quản được, với cả đừng có lấy cái câu"" khi không phải bi kịch của ta, thì nó là hài kịch"" (nói thật ngáo lắm).(Bình luận chỉ muốn mọi người bình đẳng giữa hai nước, vì đó chỉ là quá khứ chúng ta nên ghi nhớ và khắc ghi chứ không phải để mỉa mai hay bôi nhọ)","Top-level"
"08/09/2024","nhiều người joke mấy cái liên quan đến lịch sử của hoà tưởng đấy là hay nhỉ?","Top-level"
"08/09/2024","Và không phải cái gì cũng báo lên phương đc nhé","Top-level"
"08/09/2024","Fatman hay littleboy nghe cũng hay mà","Top-level"
"08/09/2024","Từ biển Đông","Top-level"
"08/09/2024","Xem windy thì nó quành ra biển á chứ ko vào nhật","Top-level"
"08/09/2024","Nguyễn Thủy Anh đúng nó quành ra biển nhưng vùng mây chính của bão vẫn bao trùm 1 phần đảo chính của Nhật","Top-level"
"Unknown","Cty Đồ Chơi Mầm Non Nhật Minh • chuyên sản xuất, lắp đặt khu vui chơi liên hoàn cho trẻ mầm non, giá cực tốt.","Top-level"
"Unknown","Ê nha ê nha","Top-level"
"Unknown","Có qua có lại","Top-level"
"Unknown","Ê nha","Top-level"
"Unknown","Nó lại quay ra biển rồi ad ạ","Top-level"
"Unknown","Quy tắc đặt tên bão ở Tây Bắc Thái Bình Dương (khu vực có Việt Nam)","Top-level"
"Unknown","Thôi, thống nhất 1 tên thôi má","Top-level"
"Unknown","Nhật đặt tên thì bay vào VN còn VN đặt tên lại bay vào Nhật .ý trời","Top-level"
"Unknown","đến từ nhà tôi, vợ Hà chồng Long","Top-level"
"Unknown","Đừng có cười như kiểu hả hê lắm","Top-level"
"Unknown","tất cả những tên bão do VIệt Nam đặt đều dỗi quay xe ko đi qua Việt Nam","Top-level"
"Unknown","Xin lỗi vì mình đã cười","Top-level"
"Unknown","Ăn miếng trả miếng kk","Top-level"
"Unknown","Siêu bão thì siêu bão nhưng vẫn yêu nước nha","Top-level"
"Unknown","Ko vào nhật đâu nhé.","Top-level"
"Unknown","Tôi nói bạn nghe ""Bánh ít đi, bánh quy lại""","Top-level"
"Unknown","Mong gió mùa đông bắc về lạnh là tan bão ngay","Top-level"
"Unknown","Đây gọi là có qua có lại à","Top-level"
"Unknown","Liên quan gì mình đâu","Top-level"
"Unknown","Vớ vẩn","Top-level"
"Unknown","xin lỗi nhựt bổn nke","Top-level"
"Unknown","Chưa có thông tin bão số 12 đưa thông tin cho chính xác vào ad không nên đưa thông tin sai sự thật gây hoang mang dư luận.","Top-level"
"Unknown","Có đi có lại à :))","Top-level"
"Unknown","Moá,cái khúc đặt tên cấn cấn nha","Top-level"
"Unknown","chọi nhau à","Top-level"
"Unknown","Đù.. chả có nhẽ...","Top-level"
"Unknown","Nam Mô A Di Đà Phật","Top-level"
"Unknown","may mà yagi chứ nó đặt yugi bão nó buff sức mạnh tình bạn nữa thì chết toi","Top-level"
"Unknown","Liên quan mẹ gì.tên bão có quy tắc đặt rồi.bài vớ vẩn vl","Top-level"
"Unknown","Này gọi là ông ăn chả bà ăn nem hả mn","Top-level"
"Unknown","Nó quay đầu rồi","Top-level"
"Unknown","Mình ở đảo dính","Top-level"
"Unknown","page gây war à, chả liên quan gì","Top-level"
"Unknown","Từ khi có Yagi nó đã làm cho tôi bị ám ảnh lo âu mỗi khi có mưa.","Top-level"
"Unknown","Tìm thấy chưa m","Top-level"
"Unknown","Bảo hạ long ??","Top-level"
"Unknown","Là sao mn, nước nào thích đặt tên cho bão cx đc hả","Top-level"
"Unknown","Riêng miền Bắc đón hết bão nhé! Vào là tan ngay! Đừng vào miền Trung ruột thịt là đc","Top-level"
"Unknown","Bão là do tự nhiên, tên đéo nào chả như nhau, thấy người ta bị bão thì cười hả hê đúng óc lợn.","Top-level"
"Unknown",":))))","Top-level"
"Unknown","Lũ mất não đi hả hê thiên tai như vậy à?","Top-level"
"Unknown","1-1","Top-level"
"Unknown","T chẳng thấy có gì đáng hả hê chuyện bão lũ này cả. Đã thế đi làm culi cho nó mà cứ mong nó có chuyện.","Top-level"
"Unknown","Ý là Hạ Long trả đũa Yagi à, đúng là bọn khốn kiếp câu view bẩn tưởi","Top-level"
"Unknown","sao ko đặt tên Oa Khấu?","Top-level"
"Unknown","Bucu","Top-level"
"Unknown","Việt Nam có cả Bão HALINH..:)))","Top-level"
"Unknown","Sao ko đặt china cho dân nhựt họ tự tin đấm bão luôn","Top-level"
"Unknown","Hết bão bùa lòi đến mắt mò giờ đến halong","Top-level"
"Unknown","Cái này gọi là có qua có lại đấy à","Top-level"
"Unknown","xem windy thấy n đi ven ven Nhật xong cua ra ngoài biển r lên Nga cơ nhìn to thật","Top-level"
