date,text
7/9/2024,Cận cảnh lật thuyền ở Quảng Ninh. Cầu mong ko ai bị làm sao
7/9/2024,Cứ ngỡ chỉ có trên phim. Ai ngờ thực tế bão đến thật mới thấy khủng khiếp quá 😥
7/9/2024,Bão to khiếp quá
7/9/2024,Sợ thật
7/9/2024,gió sợ quá mong mọi người được bình an
7/9/2024,Sợ quá b ơi
8/9/2024,khủng khiếp quá🥲
8/9/2024,"sợ hãi luôn í, kinh thật sự"
7/9/2024,Bão sợ quá a ơi
7/9/2024,Dã man quá luôn ý
8/9/2024,Dã man quá trời luôn a ơi
7/9/2024,Quá khủng khiếp mà thương quá
7/9/2024,Chỗ em đang gió giật ác lắm 😭
8/9/2024,Chỗ em mưa hoài luôn á
7/9/2024,Bay luôn cả oto ở Quảng Ninh trong mưa bão Yagi
8/9/2024,"Bão là núp trong nhà thôi nha bà con đừng có ra ngoài rất nguy hiểm, nếu ra phải cúi thấp người đợi mũ bảo hiểm không biết cái gì sẽ bay vào mình đâu."
8/9/2024,"Nhà e bị mất điện nên mất sóng, k gọi điện về hỏi thăm tình hình được luôn"
7/9/2024,Bên nhà c mưa tạnh nhưng gió vẫn giật ác lắm
8/9/2024,"Tan hoang chị ạ. Các cây xanh mệt quá, nằm ườn hết ra đường rùi"
8/9/2024,Nhà chị gẫy 1 cây mít và đổ nghiêng 2 cây mít thôi. Nói chung không thiệt hại gì mấy.
7/9/2024,chỗ e bay hết nhà rồi =))
7/9/2024,Bắc Ninh đang gió rất to rồi.sợ quá.mong là bão qua nhanh
8/9/2024,"Một góc Linh Đàm quê em, cây cối đổ ngổn ngang như bị bom tàn phá, biển cửa hàng em cũng bay mất và hỏng .... Cơn bão đã đi qua, nhưng hậu quả của nó để lại thật khủng khiếp, mức tàn phá khó mà tưởng tượng được. Rất nhiều cây cổ thụ có hàng chục đến cả trăm tuổi bị bật gốc, nhiều nhà, xe bị hư hỏng… mất mát quá nhiều, thật sự xót xa."
6/9/2024,Tòng bạt mất điện
6/9/2024,Phú sơn cũng mất điện và đón nhận từng đợt sét đánh mong sét chỉ đánh vào cây ko đánh vào các trạm điện và cột điện cho ae điện lực đỡ khổ
6/9/2024,Mất điện toàn phần các bác ạ
6/9/2024,Mất điện
6/9/2024,trung hà cũng mất điện rồi a nhé . mưa thì mưa luôn đi. sấm chớp có doạ ma
8/9/2024,Khu nhà mình cây cối đổ khủng thật bác ạ
8/9/2024,Khu vực em cũng tan tác bác à
6/9/2024,Hoàn Kiếm cây đổ sập cả nhà.
7/9/2024,Mọi thứ tan tác sau cơn bão .nhiều căn hộ đúng hướng gió bị bật cửa sổ quá đáng sợ luôn 7/9/2024 ảnh hưởng bão
8/9/2024,Nhà c cây gãy nhiều thes
8/9/2024,"Quá khủng khiếp #sieubao #Yagi. Không điện, không nước, không sóng điện thoại, kể cũng hay."
10/9/2024,"trong nhà em cx ngập ác, cả đồng lúa rộng mênh mông giờ hỏng hết"
6/9/2024,Sáng nay đi siêu thị thấy mọi người mua vét sạch quầy mì tôm luôn.
6/9/2024,Lo quá nhà mình cấp 4 không biết có trụ nổi qua cơn bão này không.
6/9/2024,Đã mua 5 bình nước 20 lít để dự trữ rồi yên tâm trú bão.
6/9/2024,Các bác nhớ hạ mấy chậu lan xuống nhé gió to là bay hết đấy.
6/9/2024,Công ty vừa thông báo cho nhân viên nghỉ làm ngày mai để tránh bão.
6/9/2024,Nhìn dự báo đường đi của bão mà toát mồ hôi hột sợ thật.
6/9/2024,Hy vọng bão đổi hướng không vào đất liền cầu mong bình an.
6/9/2024,Vừa đi làm về thấy ai cũng hối hả mua sắm tự nhiên thấy lo lo.
6/9/2024,Mình ở chung cư tầng cao gió rít nghe sợ lắm mọi người ơi.
6/9/2024,Đã chuẩn bị đủ gạo và nến cho cả tuần hy vọng không phải dùng đến.
6/9/2024,Nhắc bố mẹ ở quê chằng chống chuồng trại cẩn thận rồi.
6/9/2024,Bão chưa vào mà trời đã tối sầm lại như mực.
6/9/2024,Mọi người nhớ rút phích cắm các thiết bị điện tử đắt tiền nhé.
6/9/2024,Thấy bảo tâm bão đi qua Quảng Ninh Hải Phòng mong mọi người bình an.
6/9/2024,Đang yên đang lành tự nhiên bão vào chán ghê.
7/9/2024,Gió bắt đầu nổi lên rồi trời âm u xám xịt nhìn đáng sợ quá.
7/9/2024,Vừa trèo lên mái nhà chèn thêm mấy bao cát cho chắc ăn.
7/9/2024,Đường phố vắng tanh không một bóng người ai cũng ở yên trong nhà.
7/9/2024,Mọi người nhớ sạc đầy pin điện thoại nhé nhỡ mất điện thì khổ.
7/9/2024,Cây bàng trước cửa rụng lá tơi tả rồi gió rít ghê người.
7/9/2024,Tranh thủ nấu nồi cơm to ăn cho chắc dạ trước khi bão về.
7/9/2024,Đóng chặt cửa sổ rồi dán băng dính vào kính cho an toàn.
7/9/2024,Cả xóm í ới gọi nhau kiểm tra cửa nẻo tình cảm ấm áp quá.
7/9/2024,Cây cối bắt đầu nghiêng ngả rồi gió mạnh thật đấy.
7/9/2024,Hôm nay chợ bán đắt quá mớ rau muống mà 20 nghìn.
7/9/2024,Vừa mua được cái đèn pin siêu sáng yên tâm hẳn.
7/9/2024,Chính quyền thông báo di dời dân ở vùng trũng thấp rất kịp thời.
7/9/2024,Không dám ngủ trưa chỉ ngồi canh tin tức bão.
7/9/2024,Đã sạc đầy 3 cục sạc dự phòng sẵn sàng chiến đấu.
7/9/2024,Nhìn bầu trời vần vũ mây đen mà rùng mình.
7/9/2024,Mấy chú bảo vệ toà nhà đang đi kiểm tra cửa kính từng tầng.
8/9/2024,Mất điện rồi mọi người ơi tối om như mực.
8/9/2024,Gió đập vào cửa ầm ầm như có ai đang phá nhà sợ quá đi mất.
8/9/2024,Nghe tiếng tôn bay loảng xoảng ngoài đường không dám mở cửa ra xem.
8/9/2024,Nhà em bị nước tạt qua khe cửa ướt hết sàn nhà rồi hu hu.
8/9/2024,Cầu mong cho bão qua nhanh chứ cứ thế này thì đau tim chết mất.
8/9/2024,Mạng lag quá không lướt facebook xem tin tức được chán thế.
8/9/2024,Cây xà cừ cổ thụ đầu ngõ đổ rồi chắn ngang đường không đi được đâu.
8/9/2024,Nằm trong chăn mà nghe tiếng gió rít như tiếng máy bay phản lực kinh hoàng.
8/9/2024,Vừa nghe cái rầm hình như biển quảng cáo nhà đối diện rơi xuống.
8/9/2024,Gió rít từng cơn nghe như tiếng thú gào sợ quá đi.
8/9/2024,Mất tín hiệu tivi rồi không xem được thời sự nữa.
8/9/2024,Cả nhà ngồi quây quần bên ngọn nến cầu nguyện.
8/9/2024,Mưa tạt vào ban công ướt hết quần áo chưa kịp cất.
8/9/2024,Đừng ai dại mà ra đường lúc này nhé cây đổ bất cứ lúc nào.
8/9/2024,Nghe tiếng tôn va đập loảng xoảng ngoài phố mà thót tim.
8/9/2024,Con chó nhà mình sợ quá chui gầm giường không dám ra.
8/9/2024,Nước bắt đầu dâng lên mấp mé sân rồi lo quá.
8/9/2024,Hy vọng cái cây cổ thụ trước cửa không bị bật gốc.
9/9/2024,Sáng ra nhìn cảnh tượng tan hoang mà muốn khóc cây cối đổ rạp hết.
9/9/2024,Nhà mình bay mất cái téc nước rồi giờ lấy đâu ra nước dùng đây.
9/9/2024,Khủng khiếp quá cả dãy phố như vừa trải qua trận bom oanh tạc.
9/9/2024,Cột điện đổ ngổn ngang dây điện chằng chịt nguy hiểm cực kỳ.
9/9/2024,Mái tôn nhà hàng xóm bay sang sân nhà mình may không trúng ai.
9/9/2024,Nước ngập đến đầu gối rồi xe máy chết máy la liệt ngoài đường.
9/9/2024,Gọi điện về quê mãi không được chắc mất sóng rồi lo cho bố mẹ quá.
9/9/2024,Cửa kính văn phòng vỡ tan tành giấy tờ bay tứ tung xót xa quá.
9/9/2024,Cần tìm chỗ sửa xe gấp xe em bị ngập nước chết máy rồi.
9/9/2024,Ai có sạc dự phòng cho em mượn với điện thoại sập nguồn mất rồi.
9/9/2024,Nhìn vườn chuối sắp thu hoạch bị đổ rạp mà đứt từng khúc ruột.
9/9/2024,Cả đêm qua thức trắng canh nước tràn vào nhà mệt mỏi rã rời.
9/9/2024,Cứu với nhà em bị tốc mái hoàn toàn rồi ướt hết đồ đạc.
9/9/2024,Kính cửa sổ rung bần bật cảm giác sắp vỡ đến nơi.
9/9/2024,Mất điện toàn thành phố rồi nóng và bí quá.
9/9/2024,Cây đổ chắn ngang cửa không ra ngoài được nữa.
9/9/2024,Nước tràn vào nhà nhanh quá trở tay không kịp.
9/9/2024,Ai ở khu vực Linh Đàm cho em hỏi tình hình ngập lụt với.
9/9/2024,Sóng điện thoại chập chờn lúc có lúc không sốt hết cả ruột.
9/9/2024,Nhìn cảnh hoang tàn qua cửa sổ mà không tin vào mắt mình.
9/9/2024,Xe ô tô để dưới sân bị cành cây rơi móp hết trần rồi.
9/9/2024,Có ai biết số cứu hộ khẩn cấp không cho em xin với.
9/9/2024,Đói quá mà không nấu được gì ăn tạm mì sống vậy.
9/9/2024,Thương mấy bác lao công vẫn phải đi dọn rác trong bão.
9/9/2024,Bão giật cấp 12 cấp 13 kinh khủng khiếp chưa từng thấy.
9/9/2024,Cầu mong bão sớm tan chứ dân tình kiệt quệ rồi.
9/9/2024,Nhà em bị cắt nước rồi ai còn nước cho em xin một ít.
10/9/2024,Vẫn chưa có điện nóng quá không ngủ được muỗi đốt sưng cả chân.
10/9/2024,Đói quá mà các quán ăn đều đóng cửa ai cứu đói em với.
10/9/2024,Thương người dân vùng lũ quá nhìn ảnh mà không cầm được nước mắt.
10/9/2024,Bắt đầu dọn dẹp thôi bùn đất lầy lội khắp nơi kinh khủng thật.
10/9/2024,Cần mua tôn lợp lại mái nhà gấp ai biết chỗ nào bán chỉ em với.
10/9/2024,Đường ngập sâu quá ô tô không qua được tắc đường dài cả cây số.
10/9/2024,Nước sạch quý hơn vàng lúc này mọi người dùng tiết kiệm nhé.
10/9/2024,Tủ lạnh chảy nước hết rồi thức ăn hỏng hết phí của giời.
10/9/2024,Các chú bộ đội đã về làng giúp dân dọn dẹp rồi mừng quá.
10/9/2024,Sáng ra thấy đường phố như bãi chiến trường cây đổ la liệt.
10/9/2024,Mái tôn nhà ai bay sang nằm giữa đường nhìn nguy hiểm quá.
10/9/2024,Vẫn chưa có điện tủ lạnh chảy nước hôi rình rồi.
10/9/2024,May quá nhà mình chỉ bị vỡ mấy chậu cây cảnh.
10/9/2024,Điện thoại hết pin rồi đăng nốt dòng này là mất liên lạc.
10/9/2024,Các chú bộ đội đang cưa cây mở đường cảm ơn các chú.
10/9/2024,Nước rút chậm quá vẫn phải lội bì bõm trong nhà.
10/9/2024,Tìm người thân ai thấy ông cụ mặc áo mưa vàng nhắn em nhé.
10/9/2024,Đường ngập sâu xe chết máy hàng loạt dắt bộ mỏi chân.
10/9/2024,Cần mua bạt che mưa gấp ai biết chỗ bán chỉ giúp.
10/9/2024,Nhìn ruộng lúa sắp gặt bị ngập trắng mà xót xa cho nông dân.
10/9/2024,Trạm biến áp bị nổ rồi chắc còn lâu mới có điện.
10/9/2024,Mọi người cẩn thận đi lại coi chừng dây điện đứt rơi xuống nước.
11/9/2024,Trời vẫn mưa rả rích quần áo phơi mấy ngày không khô hôi rình.
11/9/2024,Rau xanh tăng giá gấp đôi mà không có để mua khổ thật.
11/9/2024,May quá nhà mình có máy phát điện hàng xóm sang sạc nhờ điện thoại đông vui.
11/9/2024,Trường học thông báo nghỉ thêm 2 ngày để khắc phục hậu quả bão.
11/9/2024,Thấy nhiều đoàn xe cứu trợ đi qua mà thấy ấm lòng tình người Việt Nam.
11/9/2024,Cẩn thận khi dọn dẹp nhé nhiều mảnh kính vỡ và đinh rỉ lắm.
11/9/2024,Nước rút chậm quá bao giờ mới được lau nhà sạch sẽ đây.
11/9/2024,Đã 2 ngày không tắm rửa người ngợm khó chịu quá.
11/9/2024,Chia sẻ nhau từng gói mì tôm tình nghĩa xóm làng thật quý.
11/9/2024,Trời vẫn mưa lâm thâm bao giờ mới tạnh hẳn đây.
11/9/2024,Thấy xe cứu trợ chở hàng về vùng lũ mà ấm lòng.
11/9/2024,Nhà em tường bị nứt một vệt dài nhìn ghê quá.
11/9/2024,Cố lên mọi người ơi còn người là còn của.
11/9/2024,Mong sớm có điện để bơm nước dọn dẹp nhà cửa.
11/9/2024,Mấy quán tạp hoá mở lại rồi nhưng hàng hoá khan hiếm lắm.
11/9/2024,Trẻ con khóc vì nóng và muỗi đốt thương quá.
12/9/2024,Ơn giời bão tan rồi trời bắt đầu hửng nắng nhẹ.
12/9/2024,Cuối cùng cũng có điện trở lại hét lên vì sung sướng.
12/9/2024,Mạng internet đã có lại rồi cập nhật tin tức cho mọi người đây.
12/9/2024,Đường phố đã thông thoáng hơn cây đổ được dọn gọn gàng vào lề đường.
