date,text
7/9/2024,Cận cảnh lật thuyền ở Quảng Ninh. Cầu mong ko ai bị làm sao
7/9/2024,Cứ ngỡ chỉ có trên phim. Ai ngờ thực tế bão đến thật mới thấy khủng khiếp quá 😥
7/9/2024,Bão to khiếp quá
7/9/2024,Sợ thật
7/9/2024,gió sợ quá mong mọi người được bình an
7/9/2024,Sợ quá b ơi
8/9/2024,khủng khiếp quá🥲
8/9/2024,"sợ hãi luôn í, kinh thật sự"
7/9/2024,Bão sợ quá a ơi
7/9/2024,Dã man quá luôn ý
8/9/2024,Dã man quá trời luôn a ơi
7/9/2024,Quá khủng khiếp mà thương quá
7/9/2024,Chỗ em đang gió giật ác lắm 😭
8/9/2024,Chỗ em mưa hoài luôn á
7/9/2024,Bay luôn cả oto ở Quảng Ninh trong mưa bão Yagi
8/9/2024,"Bão là núp trong nhà thôi nha bà con đừng có ra ngoài rất nguy hiểm, nếu ra phải cúi thấp người đợi mũ bảo hiểm không biết cái gì sẽ bay vào mình đâu."
8/9/2024,"Nhà e bị mất điện nên mất sóng, k gọi điện về hỏi thăm tình hình được luôn"
7/9/2024,Bên nhà c mưa tạnh nhưng gió vẫn giật ác lắm
8/9/2024,"Tan hoang chị ạ. Các cây xanh mệt quá, nằm ườn hết ra đường rùi"
8/9/2024,Nhà chị gẫy 1 cây mít và đổ nghiêng 2 cây mít thôi. Nói chung không thiệt hại gì mấy.
7/9/2024,chỗ e bay hết nhà rồi =))
7/9/2024,Bắc Ninh đang gió rất to rồi.sợ quá.mong là bão qua nhanh
8/9/2024,"Một góc Linh Đàm quê em, cây cối đổ ngổn ngang như bị bom tàn phá, biển cửa hàng em cũng bay mất và hỏng .... Cơn bão đã đi qua, nhưng hậu quả của nó để lại thật khủng khiếp, mức tàn phá khó mà tưởng tượng được. Rất nhiều cây cổ thụ có hàng chục đến cả trăm tuổi bị bật gốc, nhiều nhà, xe bị hư hỏng… mất mát quá nhiều, thật sự xót xa."
6/9/2024,Tòng bạt mất điện
6/9/2024,Phú sơn cũng mất điện và đón nhận từng đợt sét đánh mong sét chỉ đánh vào cây ko đánh vào các trạm điện và cột điện cho ae điện lực đỡ khổ
6/9/2024,Mất điện toàn phần các bác ạ
6/9/2024,Mất điện
6/9/2024,trung hà cũng mất điện rồi a nhé . mưa thì mưa luôn đi. sấm chớp có doạ ma
8/9/2024,Khu nhà mình cây cối đổ khủng thật bác ạ
8/9/2024,Khu vực em cũng tan tác bác à
6/9/2024,Hoàn Kiếm cây đổ sập cả nhà.
7/9/2024,Mọi thứ tan tác sau cơn bão .nhiều căn hộ đúng hướng gió bị bật cửa sổ quá đáng sợ luôn 7/9/2024 ảnh hưởng bão
8/9/2024,Nhà c cây gãy nhiều thes
8/9/2024,"Quá khủng khiếp #sieubao #Yagi. Không điện, không nước, không sóng điện thoại, kể cũng hay."
,"trong nhà em cx ngập ác, cả đồng lúa rộng mênh mông giờ hỏng hết"
