Date,Comment Text,Type
"Unknown","Lãnh đạo tỉnh Quảng Ninh sao không nhờ Thích Trúc Thái Minh thỉnh cho bão không vào tỉnh Quảng Ninh nhề.","Top-level"
"Unknown","Van Lien Do khổ nỗi chư thiên nghe bão chạy trốn mất xác rồi","Top-level"
"Unknown","Giờ này chắc khi TCT MINH ĐANG ẨN THÂN CHI THUẬT dưới mật thất, thỉnh chó quay chân dài về tạ long ân địa chủ rồi bạn ạ","Top-level"
"Unknown","Van Lien Do thầy phải bão song thì thầy mới bắt đầu nổ là k có thầy thỉnh thi QN còn nặng hơn nữa","Top-level"
"Unknown","câu hỏi hay. Tttm giỏi lắm mà,,,ah mà giỏi lừa gạt, truyền bá mê tín dị đoan","Top-level"
"Unknown","Mà này Bác đã kêu nó bằng thằng thì không cần tôn trọng khi viết tên nó bằng chữ hoa thế Bác ạ.","Top-level"
"Unknown","nam mô a di đà phật.","Top-level"
"Unknown","Miền Bắc quá khổ rồi mong bình an","Top-level"
"Unknown","Thằng Thích chúc Thái Minh nó lại bảo dân Quảng Ninh ăn ở như nào rồi￼","Top-level"
"Unknown","Để dọc như xe trắng chắc ko bay vì để ngang xe thôi","Top-level"
"Unknown","Chắc a xe điện","Top-level"
"Unknown","Bảo ngu thì lại tự ái.","Top-level"
"Unknown","Thương lắm Quảng Ninh ơi","Top-level"
"Unknown","Quảng Ninh ơi thương quá.cả cái ô tô bay như vậy thì biết sức gió mạnh thế nào rồi","Top-level"
"Unknown","Bay như đồ chơi, khủng khiếp","Top-level"
"Unknown","Hồi trưa tui có xem cái clip bên đảo hải nam trung quốc có chiếc xe 16 chỗ bị lốc xoáy cuốn bay lên mái nhà luôn ! Gió kinh dị vãi","Top-level"
"Unknown","Thương quá Miền bắc ơi","Top-level"
"Unknown","Bão ghê thiệt . Nhờ thầy thích minh tuệ cứu người dân","Top-level"
"Unknown","Phật ở tâm chứ làm gì có thần thông","Top-level"
"Unknown","Nhìn rất thương bà con ở vùng bão lũ có lên bà con ơi","Top-level"
"Unknown","Vùng mình Phú Thọ vẫn bình yên","Top-level"
"Unknown","NAM MÔ A DI ĐÀ PHẬT","Top-level"
"Unknown","Sao ông Minh ko biến hóa xua đuổi ma quỷ còn được Mưa bão là chuyện nhỏ Nam mô a Di Đà Phật","Top-level"
"Unknown","HÃY MAU NIỆM PHẬT: ĐI, ĐỨNG, NẰM, NGỒI...LÀM GÌ CŨNG NIỆM ĐƯỢC.","Top-level"
"Unknown","Adidaphat xong trận này ai có đống bảo hiểm thì kg lo chỉ thương cho người dân nghèo đã khổ càng cộng khổ","Top-level"
"Unknown","Cầu mong nhân loại được an yên","Top-level"
"Unknown","xe trắng cẩn thận thế. Gác hẳn cột điện lên xe cho khỏi bay","Top-level"
"Unknown","sau trận bão này đội buôn phế liệu dầu lên nhanh chóng","Top-level"
"Unknown","Thằng thái minh nó gọi bão đến đấy. Đồ nghiệp chướng. Nó là nhiều điều ác.","Top-level"
"Unknown","Bảo rồi đừng ra ngoài nữa
￼","Top-level"
"Unknown","Nam mô a Di Đà Phật","Top-level"
"Unknown","Chắc trọc minh đang trốn bão trong phòng Yến 3vàng,theo thở quên thỉnh","Top-level"
"Unknown","Thương lắm quảng ninh oi mô Phật mong tất cả mọi người bình an","Top-level"
"Unknown","Thầy bảo nghiệp phải cúng.cúng rồi sao ko thoát nghiệp","Top-level"
"Unknown","Thích trúc thái minh có thể cúng giải oan cho hết mưa bảo mà","Top-level"
"Unknown","Vc nhi nó thôi lật oto luôn khiếp nhỉ","Top-level"
"Unknown","Xe đỗ dọc theo đường đây đi đỗ ngang chả khác gì thách thức mẹ thiên nhiên","Top-level"
"Unknown","Ui cha mẹ oi oto mà nó còn đẩy đi được thì người bi cuốn theo là bình thường. Sợ thiệt","Top-level"
"Unknown","Nếu xe để dọc chắc ko bị lật rồi! thương ghê. Cầu mong mọi người đều BÌNH AN","Top-level"
"Unknown","Có của không giữ . đã cảnh báo rồi như này là đừng kêu ca gì hết","Top-level"
"Unknown","Sao ko goi thằng sư ở chùa ba vàng nó khấn cho","Top-level"
"Unknown","A DI ĐÀ PHẬT","Top-level"
"Unknown","Thương lắm quảng ninh ơi","Top-level"
"Unknown","Cố lên miền bắc tôi ơi","Top-level"
"Unknown","Đây là siêu bão, ở đâu cũng nát hết,..cùng trên đất nước không đồng cảm mà lại nói đc câu đấy.. Hài thật sự","Top-level"
"Unknown","Thương lắm miền bắc ơi tất cả đều cô ả gắng lên nào","Top-level"
"Unknown","Tiếc con oto quá","Top-level"
"Unknown","mong mọi ngừoi bình an","Top-level"
"Unknown","Xe oto mà nó bay nhẹ nhàng vậy","Top-level"
"Unknown","Ông trúc thái minh bảo đây là nghiệp của quảng ninh","Top-level"
"Unknown","Thương mọi người quá","Top-level"
"Unknown","A Di Đà Phật","Top-level"
"Unknown","Bắc ninh thùng contrener còn lật","Top-level"
"Unknown","A di đà phật","Top-level"
"Unknown","Thương quá bà con ơi","Top-level"
"Unknown","Xe oto nó bay như xe giấy thế kia khiếp thật","Top-level"
"Unknown","Bão đợt này Ngửi thấy mùi chủ quan nhiều lắm nha .. chắc chưa từng trải nên vậy","Top-level"
"Unknown","Bay cả ô tô thì biết là gió thổi mạnh cỡ nào","Top-level"
"Unknown","Quảng Ninh ơi cố gắng lên nhé,nam mô a Di Đà Phật","Top-level"
"Unknown","Này gọi là quả báo nhãn tiền","Top-level"
"Unknown","A DI ĐÀ PHẬT","Top-level"
"Unknown","Mẹ thiên nhiên nổi giận","Top-level"
"Unknown","Gió bay ô tô! Sức gió mạnh khủng khiếp!","Top-level"
"Unknown","Oto lật như súc xắc","Top-level"
"Unknown","Cái ô tô nó bay như xe đồ chơi trẻ em vậy","Top-level"
"Unknown","Đúng nguy hiểm quá thật.","Top-level"
"Unknown","Nam mô a Di Đà Phật","Top-level"
"Unknown","Xe đỏ đó là xe gì vậy mn","Top-level"
"Unknown","Không gì cản được thiên nhiên. Chỉ giảm bớt được thiệt hại tốt nhất có thể thôi...","Top-level"
"Unknown","Khổ thân người dân","Top-level"
"Unknown","QUẢNG NINH Ơi thương quá","Top-level"
"Unknown","Thằng trọc thái minh sao không đuổi bão khỏi quảng ninh đi","Top-level"
"Unknown","Con xe nặng cả tấn mà còn bay thì biết gió nó giật cỡ nào","Top-level"
"Unknown","Nam mô a di đà phật","Top-level"
"Unknown","Cầu mong cho tất cả mọi người sẽ bình an","Top-level"
"Unknown","Bình an","Top-level"
"Unknown","Nam mô a di đà phật","Top-level"
"Unknown","Nam mô a di đà phật..","Top-level"
"Unknown","Chia sẻ nhé vất vả quá","Top-level"
"Unknown","Thổi lật cả ô tô","Top-level"
"Unknown","Oto mà lật luôn.","Top-level"
"Unknown","Sao không kêu thằng thái minh nó cầu Cho","Top-level"
"Unknown","Xe bay như xốp","Top-level"
"Unknown","Khổ thân mn quá! Mong mn bảo trọng","Top-level"
"Unknown","Mong cho nhà nhà người người được b a","Top-level"
"Unknown","Bay cả oto thật khủng khiếp","Top-level"
"Unknown","Ô tô sốp ak","Top-level"
"Unknown","Thích trúc thái minh cúng xin rồi mà vẫn Ko tránh dc bão !! Kaka","Top-level"
"Unknown","bây gjờ vẫn mưa to .bao gjờ mới qua đay","Top-level"
"Unknown","Ace ngoài này mình có ổn không?Nhà tôi vẫn ổn,có mất tí đồ thôi","Top-level"
"Unknown","Do người dân chủ quan,","Top-level"
"Unknown","San ủi đất rừng để làm nhà. Bác nào được chống lưng mạnh dữ.","Top-level"
"Unknown","Nam mô a Di Đà Phật ông trời ơi dân khổ quá rồi ông oi","Top-level"
"Unknown","Quả này ở cái lân rồi, video này từ han đông chiếu xuống kinh quá","Top-level"
"Unknown","thương quá","Top-level"
"Unknown","Nam mô a di đà phật","Top-level"
"Unknown","Siêu bảo mà bay ô tô luôn trời sợ quá","Top-level"
"Unknown","Người chưa gặp bão thì chưa thấy sợ.gặp bão yagi rồi có sợ hay không","Top-level"
"Unknown","Trường khí rất mạnh. Mấy ông tử vi bảo thế","Top-level"
"Unknown","Bình thường mà. Lúc em ngủ mơ còn gê hơn vậy.","Top-level"
"Unknown","Trời mưa gió bảo sợ nhất nhà ai ở gần biển núi và chung cư cao từng rất là sợ hư hôn","Top-level"
"Unknown","NAM MÔ A DI ĐÀ PHẬT","Top-level"
"Unknown","Nam mô bổn sư thích ca mâu Ni Phật","Top-level"
"Unknown","Khổ quá","Top-level"
"Unknown","Sợ nhất nhà gần đồi thế này ko biết lúc nào nó sạt lở","Top-level"
"Unknown","Oto bay kiat","Top-level"
"Unknown","Sợ quá","Top-level"
"Unknown","Chỗ này giáp mặt biển hứng trọn bao.","Top-level"
"Unknown","Ôi cảm giác con ô tô bị lật","Top-level"
"Unknown","Quá kinh khủng","Top-level"
"Unknown","Sợ quá","Top-level"
"Unknown","Bởi vậy ở Hcm thật may . Thương bà con những nơi bị ảnh hưởng da bão mong sẽ k có thiệt hại về ng . Của mất cố gắng sẽ làm lại đc","Top-level"
"Unknown","Gió thổi bay cả ô tô sợ thật","Top-level"
"Unknown","Khổ quá mà. Nhà xe bay lật hết thế kia","Top-level"
"Unknown","Xe đỏ bay luôn","Top-level"
"Unknown","Giờ mới thấy là đầu... Bay cả ôtô","Top-level"
"Unknown","Nam mô địa tạng vương Bồ tát","Top-level"
"Unknown","Hạ long bay có khác","Top-level"
"Unknown","Nhà có điều kiện lo gì giữa lúc mưa bão này","Top-level"
"Unknown","Trời bay ô tô luôn","Top-level"
"Unknown","Trận bão to nhất từ trước đến nay","Top-level"
"Unknown","Mưa bão thì mang tôi ra lzi","Top-level"
"Unknown","Ô tô lăn luôn","Top-level"
"Unknown","Adidaphat","Top-level"
"Unknown","Giàu mà bay vậy có sao đâu","Top-level"
"Unknown","Gọi là xe hơi.","Top-level"
"Unknown","Sợ quá","Top-level"
"Unknown","Xe nhẹ lại đậu ngang khổng gió xe trắng nó đậu dọc có sao đâu..","Top-level"
"Unknown","Bay cả ê tô","Top-level"
"Unknown","Mặc quần có khi còn bay mất kk","Top-level"
"Unknown","Nhìn cái nhà kiểu lung lay hay sao v nhỉ","Top-level"
"Unknown","Xe bay như tờ giấy","Top-level"
"Unknown","Bay cả oto hic","Top-level"
"Unknown","Khủng khiếp","Top-level"
"Unknown","Vlo của toy hay sao aya. Vỏ mỏng khổ đủ đg","Top-level"
"Unknown","Giọng ải giọng ai","Top-level"
"Unknown","Nhà giàu cũng pk khóc thật","Top-level"
"Unknown","Thằng Thái Minh đâu rồi?","Top-level"
